HPO_label,HPO_term
Abnormal thorax morphology,HP:0000765
Autoimmunity,HP:0002960
Folliculitis,HP:0025084
Skin vesicle,HP:0200037
Osteopenia,HP:0000938
Recurrent skin infections,HP:0001581
Neoplasm,HP:0002664
Hypoplastic colon,HP:0005210
Intestinal hypoplasia,HP:0005245
Neoplasm of the skin,HP:0008069
Skin tags,HP:0010609
Soft tissue neoplasm,HP:0031459
Chronic colitis,HP:0100281
Aplasia/Hypoplasia of the colon,HP:0100811
Abnormality of hair growth,HP:0040170
Abnormality of the anus,HP:0004378
Abnormality of limb bone,HP:0040068
Hallucinations,HP:0000738
Encephalopathy,HP:0001298
Abnormality of brain morphology,HP:0012443
Hematemesis,HP:0002248
Abnormal long bone morphology,HP:0011314
Abnormal morphology of the radius,HP:0002818
Abnormal forearm morphology,HP:0002973
Fractured radius,HP:0003978
Sleep disturbance,HP:0002360
Urticaria,HP:0001025
Abdominal distention,HP:0003270
Ankle pain,HP:0030840
Abnormal lung morphology,HP:0002088
Abnormal pleura morphology,HP:0002103
Abnormal cellular immune system morphology,HP:0010987
Abnormal pulmonary interstitial morphology,HP:0006530
Abnormality of blood and blood-forming tissues,HP:0001871
Pneumonia,HP:0002090
Growth delay,HP:0001510
Perineal fistula,HP:0004871
Abnormality of the neck,HP:0000464
Perianal abscess,HP:0009789
Abnormality of the lymph nodes,HP:0002733
Cutaneous abscess,HP:0031292
Abnormality of the lymphatic system,HP:0100763
Lymphadenitis,HP:0002840
Cellulitis,HP:0100658
Chronic infection,HP:0031035
Recurrent bacterial infections,HP:0002718
Recurrent infections,HP:0002719
Abnormality of vitamin D metabolism,HP:0100511
Malnutrition,HP:0004395
Low levels of vitamin D,HP:0100512
Hemolytic anemia,HP:0001878
Facial edema,HP:0000282
Abnormality of the dentition,HP:0000164
Tooth abscess,HP:0030757
Asthma,HP:0002099
Spherocytosis,HP:0004444
Drug-sensitive hemolytic anemia,HP:0004817
Abnormal facial skeleton morphology,HP:0011821
Osteomyelitis,HP:0002754
Episodic abdominal pain,HP:0002574
Abnormality of the spleen,HP:0001743
Abnormal digit morphology,HP:0011297
Abnormality of the hand,HP:0001155
Abnormality of finger,HP:0001167
Finger dactylitis,HP:0031090
Abnormal 4th finger morphology,HP:0004188
Finger swelling,HP:0025131
Abnormal 3rd finger morphology,HP:0004150
Abnormal 3rd finger phalanx morphology,HP:0009316
Meckel diverticulum,HP:0002245
Small bowel diverticula,HP:0002256
Bowel diverticulosis,HP:0005222
Swollen lip,HP:0031244
Attention deficit hyperactivity disorder,HP:0007018
Neurodevelopmental abnormality,HP:0012759
Panic attack,HP:0025269
Gastrointestinal eosinophilia,HP:0032064
Abnormality of the musculature,HP:0003011
Myopathy,HP:0003198
EMG: myopathic abnormalities,HP:0003458
Abnormal muscle fiber morphology,HP:0004303
obsolete Abnormality of skeletal muscles,HP:0040290
Rhabdomyolysis,HP:0003201
Abnormal placenta morphology,HP:0100767
Anesthetic-induced rhabdomylosis,HP:0011439
Congenital ichthyosiform erythroderma,HP:0007431
Ichthyosis,HP:0008064
Abnormality of skin morphology,HP:0011121
Abnormal tracheobronchial morphology,HP:0005607
Respiratory tract infection,HP:0011947
Recurrent upper respiratory tract infections,HP:0002788
obsolete Abnormality of the bronchi,HP:0002109
Bronchitis,HP:0012387
Abnormality of the larynx,HP:0001600
Abnormal tracheal morphology,HP:0002778
Recurrent lower respiratory tract infections,HP:0002783
Knee pain,HP:0030839
Decreased circulating antibody level,HP:0004313
Abnormality of the ear,HP:0000598
Delayed speech and language development,HP:0000750
Autistic behavior,HP:0000729
Dehydration,HP:0001944
Low-grade fever,HP:0011134
Abnormality of the endocrine system,HP:0000818
Hypoglycemia,HP:0001943
Lethargy,HP:0001254
Abnormal blood ion concentration,HP:0003111
Abnormality of the pancreas,HP:0001732
Pancreatitis,HP:0001733
Abnormal pancreas morphology,HP:0012090
Immunodeficiency,HP:0002721
Decreased circulating IgG level,HP:0004315
Nausea and vomiting,HP:0002017
Metrorrhagia,HP:0100608
Acne,HP:0001061
Acute pancreatitis,HP:0001735
Abnormal facial expression,HP:0005346
Moon facies,HP:0500011
Hirsutism,HP:0001007
Abnormal hip joint morphology,HP:0001384
Abnormality of femur morphology,HP:0002823
Avascular necrosis of the capital femoral epiphysis,HP:0005743
Abnormal epiphysis morphology,HP:0005930
Abnormality of femoral epiphysis,HP:0006499
Abnormality of lower limb epiphysis morphology,HP:0006500
Abnormal limb epiphysis morphology,HP:0006505
Avascular necrosis,HP:0010885
obsolete Abnormal morphology of bones of the lower limbs,HP:0040066
Abnormality of the pharynx,HP:0000600
Abnormal nasopharynx morphology,HP:0001739
Increased size of nasopharyngeal adenoids,HP:0040261
Abnormal nasopharyngeal adenoid morphology,HP:3000033
Abnormality of the middle ear,HP:0000370
Otitis media,HP:0000388
Chronic otitis media,HP:0000389
Abnormal femoral head morphology,HP:0003368
Broad long bones,HP:0005622
Broad long bone diaphyses,HP:0006371
Dysplasia of the femoral head,HP:0010575
Otitis media with effusion,HP:0031353
Glue ear,HP:0040262
Broad femoral neck,HP:0006429
Abnormal sweat gland morphology,HP:0000971
Hyperhidrosis,HP:0000975
Hypohidrosis or hyperhidrosis,HP:0007550
Abnormal hair morphology,HP:0001595
Alopecia,HP:0001596
Alopecia of scalp,HP:0002293
Alopecia totalis,HP:0007418
obsolete Alopecia areata,HP:0002229
Colonic stenosis,HP:0012851
Skin fissure,HP:0031057
Seasonal allergy,HP:0012395
Abnormality of the nasal septum,HP:0000419
Deviated nasal septum,HP:0004411
Pelvic mass,HP:0031501
Biliary tract abnormality,HP:0001080
Cholelithiasis,HP:0001081
Abnormality of the biliary system,HP:0004297
Abnormality of the gallbladder,HP:0005264
Patent ductus arteriosus,HP:0001643
Abnormality of the mediastinum,HP:0045026
Abnormal heart morphology,HP:0001627
Abnormal mitral valve morphology,HP:0001633
Abnormal heart valve morphology,HP:0001654
Abnormal atrioventricular valve morphology,HP:0006705
Scoliosis,HP:0002650
Neuropathic spinal arthropathy,HP:0008443
Mitral valve prolapse,HP:0001634
Abnormal morphology of female internal genitalia,HP:0000008
Abnormality of the genital system,HP:0000078
Mitral regurgitation,HP:0001653
Abnormality of the uterus,HP:0000130
Dysmenorrhea,HP:0100607
Vertigo,HP:0002321
Polymenorrhea,HP:0400007
Lymphadenopathy,HP:0002716
Anal fissure,HP:0012390
Agitation,HP:0000713
Tendonitis,HP:0025230
Eosinophilic liver infiltration,HP:0032021
Sclerosing cholangitis,HP:0030991
Cholangitis,HP:0030151
Abnormal oral mucosa morphology,HP:0011830
Intestinal fistula,HP:0100819
Anaphylactic shock,HP:0100845
Morphological abnormality of the gastrointestinal tract,HP:0012718
Hypoalbuminemia,HP:0003073
Hypoproteinemia,HP:0003075
Rectal abscess,HP:0005224
Intellectual disability,HP:0001249
Rectal prolapse,HP:0002035
Hypotonia,HP:0001252
Generalized hypotonia,HP:0001290
Decreased mean corpuscular volume,HP:0025066
Rectal polyposis,HP:0100896
Abnormality of the nasal cavity,HP:0010640
Abnormal nasal mucosa morphology,HP:0000433
Rhinitis,HP:0012384
Chronic sinusitis,HP:0011109
Chronic rhinitis,HP:0002257
Rhinorrhea,HP:0031417
Impaired continence,HP:0031064
Wheezing,HP:0030828
Tachypnea,HP:0002789
Hyperventilation,HP:0002883
Chronic diarrhea,HP:0002028
Dyspnea,HP:0002094
Pneumothorax,HP:0002107
Hemangioma,HP:0001028
Pruritus,HP:0000989
Abnormality of vision,HP:0000504
Abnormal eyelid morphology,HP:0000492
Cyst of the eyelid,HP:0010604
Facial hemangioma,HP:0000329
Amblyopia,HP:0000646
Nasal polyposis,HP:0100582
Allergic rhinitis,HP:0003193
Back pain,HP:0003418
Overweight,HP:0025502
Obesity,HP:0001513
Gastric ulcer,HP:0002592
Reduced bone mineral density,HP:0004349
Abnormal circulating purine concentration,HP:0004352
Abnormality of the kidney,HP:0000077
Nephrotic syndrome,HP:0000100
Nephropathy,HP:0000112
Nephritis,HP:0000123
Abnormal tubulointerstitial morphology,HP:0001969
Tubulointerstitial nephritis,HP:0001970
Abnormal renal tubule morphology,HP:0000091
Abnormal renal cortex morphology,HP:0011035
Abnormal nephron morphology,HP:0012575
Cylindruria,HP:0012615
Hypertrophic nerve changes,HP:0003382
Enlarged peripheral nerve,HP:0012645
Photopsia,HP:0030786
Hyaline casts,HP:0031200
Scaling skin,HP:0040189
Chronic kidney disease,HP:0012622
Abnormality of subcutaneous fat tissue,HP:0001001
Abnormal adipose tissue morphology,HP:0009124
Erythema nodosum,HP:0012219
Panniculitis,HP:0012490
Cranial asymmetry,HP:0000267
Visual impairment,HP:0000505
Visual loss,HP:0000572
Abnormal skull morphology,HP:0000929
Plagiocephaly,HP:0001357
Drowsiness,HP:0002329
obsolete Abnormality of calvarial morphology,HP:0002648
Reduced consciousness/confusion,HP:0004372
Impaired convergence,HP:0000619
Diplopia,HP:0000651
Gingival bleeding,HP:0000225
Migraine with aura,HP:0002077
Intermittent diarrhea,HP:0002254
Abnormal jejunum morphology,HP:0005265
Chronic gastritis,HP:0005231
Recurrent fever,HP:0001954
Glomerulonephritis,HP:0000099
Glomerulopathy,HP:0100820
IgA deposition in the glomerulus,HP:0000794
Flank pain,HP:0030157
Abnormality of the musculature of the lower limbs,HP:0001437
Abnormality of the musculature of the thigh,HP:0001441
Abnormality of the hip-girdle musculature,HP:0001445
Abnormal morphology of the pelvis musculature,HP:0001469
Limb-girdle muscle atrophy,HP:0003797
Inflammatory myopathy,HP:0009071
Abnormality of the musculature of the limbs,HP:0009127
Abnormality of the optic nerve,HP:0000587
Abnormal cranial nerve morphology,HP:0001291
EMG: neuropathic changes,HP:0003445
Cranial nerve paralysis,HP:0006824
Recurrent urinary tract infections,HP:0000010
Pyelonephritis,HP:0012330
Optic atrophy,HP:0000648
Atrophy/Degeneration affecting the central nervous system,HP:0007367
Renal insufficiency,HP:0000083
Acute kidney injury,HP:0001919
Dark urine,HP:0040319
Strabismus,HP:0000486
Monocular strabismus,HP:0010877
Esotropia,HP:0000565
Hearing abnormality,HP:0000364
Hearing impairment,HP:0000365
Unilateral deafness,HP:0009900
Peripheral arterial stenosis,HP:0004950
Abnormal Eustachian tube morphology,HP:0040115
Abnormality of the outer ear,HP:0000356
Abnormality of the auditory canal,HP:0000372
Abnormal periauricular region morphology,HP:0000383
Impacted cerumen,HP:0030788
Aphthous ulcer,HP:0032154
Encopresis,HP:0040183
Arrhythmia,HP:0011675
Autism,HP:0000717
EEG abnormality,HP:0002353
Seizure,HP:0001250
Staring gaze,HP:0025401
Chronic constipation,HP:0012450
Food intolerance,HP:0012537
Abnormal cerebral morphology,HP:0002060
Epileptic encephalopathy,HP:0200134
Hydrocephalus,HP:0000238
Apraxia,HP:0002186
Cerebral venous angioma,HP:0012481
Failure to thrive,HP:0001508
Intestinal perforation,HP:0031368
Photophobia,HP:0000613
Ocular pain,HP:0200026
Abnormal lens morphology,HP:0000517
Cataract,HP:0000518
Villous atrophy,HP:0011473
Ascites,HP:0001541
Abnormal venous morphology,HP:0002624
Autoimmune hemolytic anemia,HP:0001890
Aplastic anemia,HP:0001915
Pure red cell aplasia,HP:0012410
Thrombocytopenia,HP:0001873
Abnormal bleeding,HP:0001892
Abnormality of coagulation,HP:0001928
Abnormality of the coagulation cascade,HP:0003256
Chronic lung disease,HP:0006528
Autoimmune thrombocytopenia,HP:0001973
Bronchiectasis,HP:0002110
Splenomegaly,HP:0001744
Retinal hemorrhage,HP:0000573
Hemorrhage of the eye,HP:0011885
Renal cyst,HP:0000107
Stage 2 chronic kidney disease,HP:0012624
Irritability,HP:0000737
Feeding difficulties,HP:0011968
Tremor,HP:0001337
Involuntary movements,HP:0004305
Cutaneous photosensitivity,HP:0000992
Hypogeusia,HP:0000224
Antinuclear antibody positivity,HP:0003493
Keratoconjunctivitis sicca,HP:0001097
Carious teeth,HP:0000670
Chronic fatigue,HP:0012432
Abnormal B cell morphology,HP:0002846
Abnormal salivary gland morphology,HP:0010286
Lacrimation abnormality,HP:0000632
Abnormal lacrimal gland morphology,HP:0011482
Abnormality of the vertebral column,HP:0000925
Recurrent abscess formation,HP:0002722
Umbilical hernia,HP:0001537
Abnormal umbilicus morphology,HP:0001551
Abnormality of the abdominal wall,HP:0004298
Hernia of the abdominal wall,HP:0004299
Hernia,HP:0100790
Restlessness,HP:0000711
Mental deterioration,HP:0001268
Memory impairment,HP:0002354
Difficulty standing,HP:0003698
Loss of consciousness,HP:0007185
Protruding tongue,HP:0010808
Heart murmur,HP:0030148
Cognitive impairment,HP:0100543
Insomnia,HP:0100785
Abnormality of the pylorus,HP:0004400
Apnea,HP:0002104
Obstructive sleep apnea,HP:0002870
"Apneic episodes precipitated by illness, fatigue, stress",HP:0002872
Sleep apnea,HP:0010535
Hydronephrosis,HP:0000126
Abnormal renal collecting system morphology,HP:0004742
Hydroureter,HP:0000072
Abnormal renal morphology,HP:0012210
Renal hypoplasia,HP:0000089
Renal dysplasia,HP:0000110
Renotubular dysgenesis,HP:0008660
Congenital megaureter,HP:0008676
Congenital nephrotic syndrome,HP:0008677
Unilateral renal dysplasia,HP:0008718
Abnormal Bowman capsule morphology,HP:0031264
Abnormality of the urethra,HP:0000795
Congenital posterior urethral valve,HP:0010957
Abnormality of the peritoneum,HP:0002585
Peritonitis,HP:0002586
Serositis,HP:0045073
Abnormality of mesentery morphology,HP:0100016
Abnormal granulocyte morphology,HP:0001911
Pyloric stenosis,HP:0002021
Abnormality of the adrenal glands,HP:0000834
Adrenal insufficiency,HP:0000846
Primary adrenal insufficiency,HP:0008207
Abnormal aortic valve morphology,HP:0001646
Aortic valve stenosis,HP:0001650
Congenital malformation of the left heart,HP:0045017
Pleural effusion,HP:0002202
Aortic regurgitation,HP:0001659
Chest pain,HP:0100749
Abnormal cardiac ventricle morphology,HP:0001713
Bicuspid aortic valve,HP:0001647
Abnormal aortic valve cusp morphology,HP:0031567
Abnormal aortic morphology,HP:0001679
obsolete Aortic dilatation,HP:0001724
obsolete Dilatation of ascending aorta,HP:0002631
Ascending tubular aorta aneurysm,HP:0004970
obsolete Dilatation of the ascending aorta,HP:0005111
Aortic arch aneurysm,HP:0005113
Thoracic aortic aneurysm,HP:0012727
Pleuritis,HP:0002102
Dilatation of the ventricular cavity,HP:0006698
Abnormal left ventricle morphology,HP:0001711
Exotropia,HP:0000577
Interstitial pneumonitis,HP:0006515
Abnormality of refraction,HP:0000539
Hypermetropia,HP:0000540
Sneeze,HP:0025095
Epiphora,HP:0009926
Abnormality of the diencephalon,HP:0010662
Abnormality of the anterior pituitary,HP:0011747
Abnormal hypothalamus morphology,HP:0012286
Abnormality of the pituitary gland,HP:0012503
Central nervous system cyst,HP:0030724
Scrotal hyperpigmentation,HP:0012855
Fused labia majora,HP:0025486
Corneal opacity,HP:0007957
Aplasia of the uterus,HP:0000151
Ambiguous genitalia,HP:0000062
Increased scrotal rugation,HP:0012857
Abnormal cornea morphology,HP:0000481
Corneal degeneration,HP:0007705
Abnormal reproductive system morphology,HP:0012243
Nephrolithiasis,HP:0000787
Hypernatremic dehydration,HP:0004906
Patent foramen ovale,HP:0001655
Abnormal cardiac septum morphology,HP:0001671
Abnormal cardiac atrium morphology,HP:0005120
Abnormal atrial septum morphology,HP:0011994
Sepsis,HP:0100806
Hypercalciuria,HP:0002150
Abnormal circulating calcium concentration,HP:0004363
Acidosis,HP:0001941
Abnormality of male external genitalia,HP:0000032
Nasogastric tube feeding in infancy,HP:0011470
Nasogastric tube feeding,HP:0040288
Reticulocytosis,HP:0001923
Small intestinal bleeding,HP:0012849
Pancytopenia,HP:0001876
Thoracic hypoplasia,HP:0005257
Unilateral chest hypoplasia,HP:0005254
Coarctation of aorta,HP:0001680
Abnormal systemic arterial morphology,HP:0011004
Abnormal morphology of the great vessels,HP:0030962
Hypoplastic heart,HP:0001961
Abnormality of the thymus,HP:0000777
Abnormality of the parathyroid gland,HP:0000828
Parathyroid hypoplasia,HP:0000860
Branchial anomaly,HP:0009794
Abnormality of the parathyroid morphology,HP:0011766
Hypoplastic left heart,HP:0004383
Lymphopenia,HP:0001888
Abnormality of cardiovascular system morphology,HP:0030680
Atrial septal defect,HP:0001631
Bronchiolitis,HP:0011950
Pulmonary edema,HP:0100598
Heart block,HP:0012722
Cardiac conduction abnormality,HP:0031546
Bundle branch block,HP:0011710
Right bundle branch block,HP:0011712
Cardiomegaly,HP:0001640
Hypoplastic aortic arch,HP:0012304
Atelectasis,HP:0100750
Leukopenia,HP:0001882
Abnormal epididymis morphology,HP:0009714
Benign genitourinary tract neoplasm,HP:0006778
Neoplasm of the genitourinary tract,HP:0007379
Gonadal neoplasm,HP:0010785
Muscular dystrophy,HP:0003560
Congenital muscular dystrophy,HP:0003741
Limb-girdle muscular dystrophy,HP:0006785
Restrictive ventilatory defect,HP:0002091
Abnormal EKG,HP:0003115
Prolonged QT interval,HP:0001657
Prolonged QTc interval,HP:0005184
Abnormal QT interval,HP:0031547
Abnormal myocardium morphology,HP:0001637
Cardiomyopathy,HP:0001638
Right ventricular cardiomyopathy,HP:0011663
Limb joint contracture,HP:0003121
Muscle weakness,HP:0001324
Abnormal scalp morphology,HP:0001965
Plasmacytosis,HP:0030150
Vasculitis,HP:0002633
Punctate vasculitis skin lesions,HP:0200030
Ankle swelling,HP:0001785
Upper limb pain,HP:0012513
Microscopic hematuria,HP:0002907
Blepharitis,HP:0000498
Abnormality of upper limb joint,HP:0009810
Abnormality of the knee,HP:0002815
Joint stiffness,HP:0001387
Petechiae,HP:0000967
Pharyngitis,HP:0025439
Abnormality of the tonsils,HP:0100765
Urinary incontinence,HP:0000020
Enuresis,HP:0000805
Polydipsia,HP:0001959
Polyphagia,HP:0002591
Enuresis nocturna,HP:0010677
Hyperactivity,HP:0000752
Abnormality of the tympanic membrane,HP:0040090
Abnormality of the fascia,HP:0100536
Fasciitis,HP:0100537
Conductive hearing impairment,HP:0000405
Septic arthritis,HP:0003095
Ear pain,HP:0030766
Bilateral conductive hearing impairment,HP:0008513
Mild hearing impairment,HP:0012712
Myositis,HP:0100614
Synovitis,HP:0100769
Snoring,HP:0025267
Macrodactyly,HP:0004099
Abnormality of toe,HP:0001780
Hemihypertrophy of lower limb,HP:0100553
Macrodactyly of toe,HP:0100747
Hemihypotrophy of lower limb,HP:0200053
Raynaud phenomenon,HP:0030880
Varicose veins,HP:0002619
Ventricular septal defect,HP:0001629
Abnormal ventricular septum morphology,HP:0010438
Hematuria,HP:0000790
Osteochondroma,HP:0030431
Hyperostosis,HP:0100774
Exostoses,HP:0100777
Macroscopic hematuria,HP:0012587
Neutropenia,HP:0001875
Portal hypertension,HP:0001409
Bone marrow hypocellularity,HP:0005528
Gastric varix,HP:0030169
Pulmonary hypoplasia,HP:0002089
Endometriosis,HP:0030127
Menorrhagia,HP:0000132
Chilblains,HP:0009710
Cutis marmorata,HP:0000965
Vascular skin abnormality,HP:0011276
Myalgia,HP:0003326
Epigastric pain,HP:0410019
Abnormal thumb morphology,HP:0001172
Abnormal axial skeleton morphology,HP:0009121
Abnormality of the curvature of the vertebral column,HP:0010674
Acute otitis media,HP:0000371
Abnormality of the autonomic nervous system,HP:0002270
obsolete Dysautonomia,HP:0002459
Abnormal T cell morphology,HP:0002843
Recurrent pharyngitis,HP:0100776
Abnormality of the peripheral nervous system,HP:0410008
Confusion,HP:0001289
Cholecystitis,HP:0001082
Shoulder dystocia,HP:0011413
Dermatographic urticaria,HP:0011971
Choking episodes,HP:0030842
Facial grimacing,HP:0000273
Narrow mouth,HP:0000160
Small face,HP:0000274
Pyoderma,HP:0000999
Acne inversa,HP:0040154
Anal fistula,HP:0010447
Low back pain,HP:0003419
Global developmental delay,HP:0001263
Abnormal fear/anxiety-related behavior,HP:0100852
Recurrent tonsillitis,HP:0011110
Enlarged tonsils,HP:0030812
Generalized muscle weakness,HP:0003324
Phonophobia,HP:0002183
Hypertension,HP:0000822
Elevated circulating creatine kinase concentration,HP:0003236
Hypokalemia,HP:0002900
Hyponatremia,HP:0002902
Abnormal blood sodium concentration,HP:0010931
Abnormal blood potassium concentration,HP:0011042
Joint laxity,HP:0001388
Joint hypermobility,HP:0001382
Skeletal dysplasia,HP:0002652
Abnormality of the temporomandibular joint,HP:0010754
Abnormality of the ovary,HP:0000137
Ovarian cyst,HP:0000138
Polycystic ovaries,HP:0000147
Abnormal vertebral morphology,HP:0003468
Abnormality of the wrist,HP:0003019
Hypotension,HP:0002615
Mania,HP:0100754
Blurred vision,HP:0000622
Atypical absence seizure,HP:0007270
Generalized non-motor (absence) seizure,HP:0002121
EEG with hyperventilation-induced generalized epileptiform discharges,HP:0011184
Epileptic spasm,HP:0011097
Infantile spasms,HP:0012469
Hypsarrhythmia,HP:0002521
Absent speech,HP:0001344
Loss of speech,HP:0002371
Myoclonus,HP:0001336
Muscle fibrillation,HP:0010546
Continuous spike and waves during slow sleep,HP:0031491
Tics,HP:0100033
Cholesteatoma,HP:0009797
Aggressive behavior,HP:0000718
"Abnormal aggressive, impulsive or violent behavior",HP:0006919
Motor tics,HP:0100034
Drooling,HP:0002307
Abnormal odontoid tissue morphology,HP:3000050
Caesarian section,HP:0011410
Secondary Caesarian section,HP:0030364
Bilateral tonic-clonic seizure,HP:0002069
Ataxia,HP:0001251
Abnormality of movement,HP:0100022
Generalized myoclonic seizure,HP:0002123
Generalized myoclonic-atonic seizure,HP:0011170
Delayed puberty,HP:0000823
Generalized-onset seizure,HP:0002197
Atonic seizure,HP:0010819
Gait disturbance,HP:0001288
Gait imbalance,HP:0002141
CNS hypomyelination,HP:0003429
Glutaric aciduria,HP:0003150
Delayed gross motor development,HP:0002194
Hypoplasia of the corpus callosum,HP:0002079
Premature birth,HP:0001622
Motor delay,HP:0001270
Cyanosis,HP:0000961
Hyperbilirubinemia,HP:0002904
